The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Intervention, Intrusion  insinuation  interference  intercession  mediation  agency  interposition  , Continuance  nonintervention  uninterruptedness  noninterference
Interview, Colloquy  confabulation  consultation  conference  meeting  , Isolation  independence  exclusion  avoidance
Interweave  [See INTERLACE], Interweave  [See INTERLACE]    ,
Intestate, Unwilled  undevised  unbequeathed  , Willed  bequeathed  devised
Intestine, Interior  domestic  civil  , External  foreign  international
Inthrall, Confine  cage  imprison  incarcerate  intomb  enslave  , Liberate  release  disengage  free  unfetter
Intimate  -v, Impart  communicate  announce  declare  tell  suggest  hint  insinuate  mention briefly  , Reserve  repress  withhold  conceal
Intimate -adj, Close  familiar  exact  nice  near  friendly  conversant  , Distant  unfamiliar  superficial
Intimidate, Frighten  alarm  threaten  deter  dishearten  scare  appall  browbeat  cow  , Encourage  inspirit  animate  reassure
Intolerable  [See INSUFFERABLE], Intolerable  [See INSUFFERABLE]    ,
Intolerant  [See TOLERANT], Intolerant  [See TOLERANT]    ,
Intomb, Inter  bury  inhume  incarcerate  imprison  immure  , Exhume  disinter  disentomb  liberate  release
Intonation, Melody  accentuation  resonance  ring  , Jar  jabber  gabble  babel  gibber  rattle
Intoxication, Venom  poison  obfuscation  bewilderment  delirium  hallucination  ravishment  ecstasy  inebriation  drunkenness  inebriety  , Antidote  clarification  sobriety  sanity  ebriety  melancholy  depression
Intractable  [See TRACTABLE], Intractable  [See TRACTABLE]    ,
Intransient  [See TRANSIENT], Intransient  [See TRANSIENT]    ,
Intrenchment, Ditch  dyke  moat  circumvallation  encroachment  infringement  trespass  , Wall  rampart  mound  mole  embankment  glacis  bastion  forbearance  deference  respect
Intrepid, Fearless  brave  unterrified  courageous  valorous  heroic  chivalrous  doughty  [See DAUNTLESS]    ,
Intricacy, Complexity  complication  entanglement  perplexity  confusion  , Directness  obviousness  method  disposition  array  system
Intricate, Complicated  involved  mazy  labyrinthine  entangled  tortuous  , Simple  uninvolved  plain  direct  obvious
Intrigue, Cabal  plot  conspiracy  machination  artifice  design  manoeuvres  cunning  duplicity  trickery  chicanery  love affair  amour  ruse  , Insurrection  rebellion  congress  assembly  force  violence  assault  openness  candor  sincerity  honesty  probity  straightforwardness
Intrinsic, Native  inherent  innate  genuine  immanent  natural  true  real  inward  , Extrinsic  acquired  adventitious  borrowed  pretended  ascititious  external  added  assumed
Introduce, Present  usher in  conduct in  make known  bring in  preface  begin  , Come after  succeed  follow  end  conclude
Introduction, Induction  importation  leading  taking  presentation  insertion  commencement  preliminary  preface  initiative  portico  vestibule  entrance  gate  preamble  prelude  , Eduction  extraction  exportation  elimination  ejection  encircleation  estrangement  conclusion  completion  end  egress
Introductory, Prefatory  initiatory  commendatory  precursory  preliminary  preparatory  , Completive  final  conclusive  alienative  supplemental  terminal  valedictory
Introvert, Involve  invert  replicate  , Explicate  evolve  encircleate  eliminate
Intrude  [See INTERFERE], Intrude  [See INTERFERE]    ,
Intrusion  [See INTRUDE], Intrusion  [See INTRUDE]    ,
Inrust, Put in trust  consign  commit  [See CONFIDE]    ,
Intuition, Instinct  apprehension  recognition  insight  , Information  learning  instruction  elaboration  acquirement  induction  experience
Intuitive  [See INSTINCTIVE], Intuitive  [See INSTINCTIVE]    ,
Intumescence, Swelling  protuberance  turgescence  , Subsidence  evenness  attenuation  concavity
Intwine, Twist  wreath  plait  interlace  braid  bind  , Untwist  disengage  untie  unlace  unravel  unbind
Inundate, Overflow  submerge  deluge  flood  overwhelm  , Drain  reclaim  dry  desiccate  parch
Inurbanity, boorishness  coarseness  rudeness  , Urbanity  politeness  refinement
Inure  [See ACCUSTOM], Inure  [See ACCUSTOM]    ,
Inutility, Uselessness  inefficacy  futility  , Utility  usefulness  efficiency  efficacy
Invade, Attack  assault  encroach  occupy  assail  violate  encroach upon  intrude upon  infringe upon  trench upon  , Vacate  abandon  evacuate  relinquish
Invalid, infirm  sick  weakly  frail  feeble  , Strong  vigorous  healthy  well
Invalidate, Annul  overthrow  [See ANNUL]    ,
Invaluable, Inestimable  precious  priceless  [See VALUABLE]    ,
Invasion, Irruption  encroachment  [See INCURSION]    ,
Invective, Obloquy  denunciation  castigation  vituperation  reprobation  abuse  railing  sarcasm  satire  diatribe  reproach  , Commendation  encomium  eulogy  panegyric  laudation
Inveigh, Denounce  reprobate  attack  vituperate  abuse  , Exculpate  advocate  defend  laud  eulogize  panegyrize
Inveigle, Cajole  wheedle  [See DECOY]    ,
Invent, Discover  contrive  concoct  imagine  elaborate  conceive  design  devise  fabricate  originate  find out  frame  forge  feign  , Imitate  copy  execute  reproduce
Inventive  [See INGENIOUS], Inventive  [See INGENIOUS]    ,
Inventor, Creator  contriver  originator  author  , Destroyer
Inventory, Schedule  register  list  catalogue  [See BAWL]  ~ -n]    ,
Invert, Upset  reverse  overturn  subvert  [See OVERTHROW]    ,
Inversion, Reversal  deflection  alteration  permutation  violation  transposition  , Verticality  erectness  stability  permanence  persistence  conservation  sequence  fixity  state  order
Invest  [See DIVEST], Invest  [See DIVEST]    ,
Investigate  [See EXAMINE], Investigate  [See EXAMINE]    ,
Investigation, Examination  search  scrutiny  research  study  inquiry  exploration  ventilation  , Discovery  solution  clue  indication  thread
Investiture, Investment  , Divestiture  divestment
Investment  [See INVESTITURE], Investment  [See INVESTITURE]    ,
Inveterate, Confirmed  incarnate  ingrained  deep-rooted  chronic  habitual  , Incipient  undeveloped  unformed
Invidious, Unfair  gratuitous  partial  inconsiderate  hateful  envious  offensive  , Fair  impartial  due  just  considerate
Invigorate  [See ENERVATE], Invigorate  [See ENERVATE]    ,
Invincible, Impregnable  immovable  inexpugnable  unsubduable  irresistible  indomitable  unconquerable  insuperable  insurmountable  , Weak  spiritless  powerless  puny  effortless
Inviolable, Impregnable  invincible  strict  immovable  unimpeachable  unalterable  , Alterable  weak  frail
Inviolate, Guarded  treasured  close  virgin  intact  uninjured  sacred  unprofaned  , Betrayed  surrendered  divulged  entered into  profaned
Invisible  [See SELFISH], Invisible  [See SELFISH]    ,
Invite, Ask  summon  call  challenge  attract  allure  tempt  incite  request  solicit  , Forbid  exclude  discard  deprecate  repel
Inviting, Attracting  calling  summoning  alluring  tempting  , Forbidding  repelling  rejecting
Invoke, Summon  call  imprecate  conjure  invite  challenge  invocate  implore  beseech  appeal to  , Deprecate  ignore  warn  inhibit  elude  defy  deter
Involuntary  [See AMPLE and BROAD], Involuntary  [See AMPLE and BROAD]    ,
Involution, Complication  entanglement  implication  mingling  , Evolution  evolvement  separation  extrication  disconnection
Involve, Implicate  confound  mingle  envelop  compromise  include  complicate  entangle  , Separate  extricate  disconnect
Involved, Implicated  concerned  complicated  confused  compromised  , Unconnected  unconcerned  simple  lucid  uncompromised
Invulnerable  [See VULNERABLE], Invulnerable  [See VULNERABLE]    ,
Inward, Internal  interior  inner  , External  exterior  outward
Iota, Jot  particle  tittle  trace  atom  , Whole  mass
Irascible  [See HASTY and ANGRY], Irascible  [See HASTY and ANGRY]    ,
Irate  [See HASTY and ANGRY], Irate  [See HASTY and ANGRY]    ,
Ire  [See WRATH], Ire  [See WRATH]    ,
Iridescent, Prismatic  opaline  polychromatous  nacreous  , Achromatic  blanched  neutral  dingy  colorless  etiolated  monochromatic
Irk, Weary  tire  tease  bore  oppress  jade  , Interest  rivet  animate  refresh  inspirit  irksome  [See TEDIOUS]
Irony, Satire  banter  quiz  rally  taunt  sarcasm  raillery  ridicule  , Compliment  seriousness
Ironical  [See IRONY], Ironical  [See IRONY]    ,
Irradiate  [See ILLUMINATE], Irradiate  [See ILLUMINATE]    ,
Irrational  [See RATIONAL], Irrational  [See RATIONAL]    ,
Irreclaimable  [See RECLAIMABLE], Irreclaimable  [See RECLAIMABLE]    ,
Irreconcilable  [See RECONCILABLE], Irreconcilable  [See RECONCILABLE]    ,
Irrecoverable, Past  hopeless  lost  irredeemable  , Hopeful  saved  redeemable
Irredeemable  [See REDEEMABLE], Irredeemable  [See REDEEMABLE]    ,
Irreducible, Uncongenial  uncommensurable  discordant  unchangeable  out of order  , Congenial  commensurable  reducible  concordant  in order
Irrefragable  [See REFRAGABLE], Irrefragable  [See REFRAGABLE]    ,
Irrefutable  [See REFRAGABLE], Irrefutable  [See REFRAGABLE]    ,
Irregular  [See REGULAR], Irregular  [See REGULAR]    ,
Irrelevant  [See RELEVANT], Irrelevant  [See RELEVANT]    ,
Irreligion  [See RELIGION], Irreligion  [See RELIGION]    ,
Irreligions, Undevout  ungodly  godless  profane  impious  , Religious  godly  reverent  reverential  pious  devout
Irremediable  [See REMEDIABLE], Irremediable  [See REMEDIABLE]    ,
Irremissible, Unjustifiable  indefensible  inexpiable  unpardonable  , Justifiable  defensible  remissible  pardonable
Irremovable, Immovable  fixed  rooted  firm  steadfast  riveted  established  , Inconstant  unsteady  unstable  unsettled  unfixed  unfastened
Irreparable  [See REPARABLE], Irreparable  [See REPARABLE]    ,
Irreprehensible  [See REPREHENSIBLE], Irreprehensible  [See REPREHENSIBLE]    ,
Irrepressible, Unrepressible  ungovernable  uncontrollable  insuppressible  free  unconfined  excitable  , Repressible  governable  controllable  calm  bound down
Irreproachable  [See BLAMELESS], Irreproachable  [See BLAMELESS]    ,
Irreprovable, Irreproachable  irreprehensible  unexceptionable  unobjectionable  unimpeachable  , Culpable  peccable  reprehensible  uncommendable  blameworthy  impeachable
Irresistible  [See RESISTIBLE], Irresistible  [See RESISTIBLE]    ,
Irresolute  [See RESOLUTE], Irresolute  [See RESOLUTE]    ,
Irrespective  [See RESPECTIVE], Irrespective  [See RESPECTIVE]    ,
Irresponsible, Unbound  unencumbered  unaccountable    not answerable    excusable  lawless  arbitrary  despotic  , Responsible  obligatory  binding  imperative  chargeable on  under obligation  lawful  legal  legitimate
Irretrievable  [See RETRIEVABLE], Irretrievable  [See RETRIEVABLE]    ,
Irreverence  [See REVERENCE], Irreverence  [See REVERENCE]    ,
Irreversible  [See REVERSIBLE], Irreversible  [See REVERSIBLE]    ,
Irrevocable  [See REVERSIBLE], Irrevocable  [See REVERSIBLE]    ,
Irrigate, Water  wet  inundate  submerge  , Dry  drain  parch
Irrigation  [See IRRIGATE], Irrigation  [See IRRIGATE]    ,
Irritable  [See HASTY], Irritable  [See HASTY]    ,
Irritant  [See TENTATIVE], Irritant  [See TENTATIVE]    ,
Irritate, Tease  provoke  annoy  exasperate  worry  incense  , Soothe  caress  pacify  tame  mollify
Irritation  [See IRRITATE], Irritation  [See IRRITATE]    ,
Irruption, Incursion  invasion  inundation  inburst  , Eruption  excursion  sally  retreat  outburst
Isolate, Insulate  dissociate  separate  , Unite  associate
Isolation, Segregation  detachment  disconnection  insularity  self-containedness  , Organization  co-membership  community  connection  concatenation  continuity
Issue, Effect  outcome  manifestation  end  result  progeny  posterity  conclusion  consequence  upshot  children  offspring  , Cause  operation  working  principle  law  system  action  influence  origination  commencement  paternity  ancestry
Iteration, Repetition  reiteration  harping  recurrence  succession  , Single statement
Itinerant, Wandering  travelling  locomotive  roving  roaming  journeying  nomadic  , Stationary  domestic  fixed  settled  allocated  local
Jabber, Prate  mumble  [See GABBLE]    ,
Jade, Fatigue  tire  weary  oppress  wear  harass  exhaust  worry  , Refresh  recruit  bait  invigorate  inspirit
Jangle -n, Jargon  babel  contention  wrangle  bickering  squabble  quarrel  , Argument  debate  discourse
Jangle -v, Bicker  wrangle  squabble  quarrel  dispute  nag  jar  , Agree  harmonize  accord  concur
Jauty  or Jaunty, Flighty  airy  fantastic  showy  flaunting  , Staid  sober  sedate  demure  dignified
Jar, Interfere  clash  quarrel  [See TANGLE]    ,
Jargon, Gibberish  jangle  slang  cant  lingo  patois  confused talk  , Speech  conversation  literature  discourse  oration  eloquence
Jaundiced, Biased  prejudiced  warped  prepossessed  , Unbiased  unprejudiced  unjaundiced
Jealous, Envious  self-anxious  covetous  invidious  suspicious  , Unenvious  liberal  genial  self-denying  indifferent  unjealous
Jealousy, Suspicion  envy  rivalry  solicitude  , Certainty  magnanimity  friendliness  generousness  without solicitude
Jeer, Sneer  taunt  scoff  deride  scout  flout  mock  rally  banter  , Flatter  annulate  fawn  cringe  compliment  eulogize
Jejune, Bare  scant  poor  thin  weak  barren  sterile  poverty-struck  bald  , Rich  exuberant  racy  abundant  interesting  overwrought  redundant
Jeopardy, Danger  peril  hazard  risk  , Safety  security  provision  insurance
Jest, Joke  raillery  fun  sport  quip  witticism  , Earnest  seriousness  gravity
Jilt, Flirt  coquette    ,
Jingle, Rhyme  chime  tinkle  tingle  , Euphony  consonance  melody  harmony
Jocose, Humorous  funny  jocular  waggish  jolly  merry  facetious  , Melancholy  serious  earnest  grave  lugubrious  lackadaisical
Jocular  [See JOCOSE], Jocular  [See JOCOSE]    ,
Jocund, Merry  joyous  jovial  gay  gleeful  blithesome  careless  mirthful  hilarious  sprightly  sportive  joyful  lively  vivacious  , Melancholy  dull  grave  mournful  sorrowful  darksome  cheerless  woful  rueful  doleful  careworn
Join, Unite  adhere  adjoin  add  couple  connect  associate  annex  append  combine  link  accompany  confederate  , Separate  disjoin  subtract  disconnect
Joint, Articulation  junction  flexure  elbow  knee  , Solution  disconnection  disjunction  uniformity  continuity
Joke  [See JEST], Joke  [See JEST]    ,
Jollification, Revelry  festivity  conviviality  fun  carnival  merrymaking  , Weariness  tediousness  soberness  tedium  monotony
Jolly, Gay  joyful  gladsome  mirthful  genial  jovial  jubilant  robust  lively  plump  merry  , Sad  mournful  joyless  cheerless  unmirthful  lugubrious  morose  gloomy  lean
Jollity  [See JOVIALITY], Jollity  [See JOVIALITY]    ,
Jostle, Hustle  push  thrust  jog  jolt  incommode  , Clear  lead  extricate  convoy  escort  precede  pilot  attend
Jot, Tittle  cipher  trifle  rush  fig  particle  atom  thought  idea  bit  scrap  morsel  fraction  iota  whit  , Deal  power  world  mass  light  load  ocean
Journey, Travel  excursion  tour  voyage  trip    ,
Jovial, Jolly  genial  convivial  , Ungenial  melancholy  unconvivial  saturnine  lugubrious  gloomy
Joviality, Merriment  jollity  mirth  hilarity  , Sadness  seriousness  soberness
Joy, Gladness  pleasure  delight  happiness  exultation  transport  felicity  ecstasy  rapture  bites  gaiety  mirth  merriment  festivity  hilarity  , Sorrow  pain  trouble  misery  melancholy  grief  affliction  tears  depression  despondency  despair
Joyful, Happy  joyous  gladsome  blissful  [See JOCUND]    ,
Jubilant, Joyous  triumphant  festive  congratulatory  exultant  , Doleful  mournful  sorrowful  wailing  penitent  penitential  lugubrious  remorseful
Jubilee, Holiday  feast  rejoicing  merriment  festivity  revel  paean  carnival  high-day  , Fast  humiliation  mourning  penitence  lent
Judge, Justice  magistrate  arbitrator  umpire  referee  critic  connoisseur  authority  arbiter  , Criminal  ignoramus  novice  tyro
Judgment, Decision  determination  adjudication  sagacity  penetration  judiciousness  sense  intellect  belief  estimation  opinion  verdict  sentence  discernment  discrimination  intelligence  prudence  award  condemnation  , Argument  consideration  inquiry  speculation  proposition  investigation  pleading  insagacity  injudiciousness  evidence  pronunciation
Judicial, Juridical  forensic    ,
Judicious, Wise  sagacious  expedient  sensible  prudent  discreet  well-judged  well-advised  polite  discerning  thoughtful  , Foolish  unwise  silly  imprudent  indiscreet  ill-judged  ill-advised  impolitic  inexpedient  rash  blind  injurious
Juggle, Conjure  cheat  bamboozle  shuffle  trick  beguile  circumvent  swindle  overreach  mystify  mislead  , Expose  correct  enlighten  guide  lead  undeceive  disillusionize  detect
Jugglery, Trickery  imposture  cheating  [See DECEIT]    ,
Jumble  [See ARRANGE], Jumble  [See ARRANGE]    ,
Jump, Leap  bound  spring  skip  bounce  , Walk
Junction, Joining  connection  union  combination  coalition  attachment  fastening  annexation  alliance  confederacy  , Separation  disconnection  disunion  division  segregation  dispersion  loosening  unfastening  uniformity  continuity
Juncture  [See CONJUNCTURE], Juncture  [See CONJUNCTURE]    ,
Jungle, Thicket  brake  involution  ravelling  entanglement  labyrinth  wilderness  , Open place  order  arrangement  array  system
Junior, Younger  , Senior  elder
Jurisdiction, Administration  cognizance  government  control  sway  power  legalization  magistracy  liability  , Freedom  independence  Immunity  exemption
Just, Exact  fitting  true  fair  proportioned  harmonious  honest  reasonable  sound  honorable  normal  impartial  equitable  upright  regular  orderly  lawful  right  righteous  proper  , Inexact  misfitted  disproportioned  illproportioned  untrue  inharmonious  unfair  unreasonable  unsound  dishonorable  partial  unequitable  unjust  irregular  abnormal  disorderly
Justice, Equity  impartiality  fairness  right  reasonableness  propriety  uprightness  desert  integrity  , Injustice  wrong  partiality  unfairness  unreasonableness  unlawfulness  inadequateness
Justification, Vindication  apology  defence  advocacy  maintenance  plea  exoneration  exculpation  , Condemnation  censure  conviction  protest  abandonment  inculpation  recrimination  implication  aggravation
Justify, Clear  vindicate  exonerate  defend  absolve  excuse  , Condemn  censure  convict  criminate
Justness, Exactness  correctness  propriety  [See ACCURACY]    ,
Justle  [See JOSTLE], Justle  [See JOSTLE]    ,
Juvenile, Youthful  young  infantine  boyish  girlish  early  immature  adolescent  pubescent  childish  puerile   , Mature  later  manly  womanly  elderly  aged  senile  anile  superannuated  adult
Juxtaposition, Proximity  contiguity  contact  [See CONTACT]    ,
KEEN, Eager  vehement  sharp  piercing  penetrating  acute  cutting  biting  severe  sarcastic  satirical  ardent  prompt  shrewd  , Indifferent  languid  blunt  dull  blind
Keep, Hold  restrain  retain  detain  guard  preserve  suppress  repress  conceal  tend  support  maintain  conduct  continue  obey  haunt  observe  frequent  celebrate  protect  adhere to  practise  binder  sustain  , Release  acquit  liberate  send  dismiss  betray  neglect  divulge  discard  abandon  intermit  disobey  disregard  transgress  forsake  desert  oblivate
Keeper  [See KEEP], Keeper  [See KEEP]    ,
Keeping, Care  guardianship  maintenance  custody  [See CARE]    ,
Keepsake, Souvenir  remembrancer  a gift of affection    ,
Ken, View  survey  knowledge  cognizance  , Oversight  ignorance  incognizance  inobservance  inexperience  discredulity
Kernel  [See CORK], Kernel  [See CORK]    ,
Key, Clew  guide  explanation  solution  [See EXPLANATION]    ,
Kick, Calcitrate  rebel  resist  spurn  , Caress  soothe  flatter  obey  yield
Kill, Slay  murder  assassinate  destroy  slaughter  butcher  immolate  massacre  deaden  put to death  despatch  , Resuscitate  revivify  vivify  reanimate
Kin, Race  kindred  offspring  kind  family  sort  ilk  genus  kidney  class  relationship  consanguinity  kinsfolk  blood  , Foreignership  strangership  disconnection  inaffinity  irrelation
Kind -n, Style  character  description  designation  denomination  genus  species  sort  class  nature  set  breed  , [See KIN and DISSIMILARITY]
Kind -a, Benevolent  benign  tender  indulgent  humane  clement  lenient  compassionate  gentle  good  gracious  forbearing  kind-hearted  , Unkind  harsh  severe  cruel  hard  illiberal
Kindle, Light  ignite  excite  inflame  , Extinguish  suppress  quench  allay
Kindness  [See KIND], Kindness  [See KIND]    ,
Kindred -n  [See KIN], Kindred -n  [See KIN]    ,
Kindred -a, Congenial  allied  cogitate  akin  related  , Uncongenial  unallied  unrelated
Kingdom, Empire  realm  dominion  sovereignty  monarchy    ,
Kingly, Royal  regal  imperial  magnificent  noble  , [See MAGNIFICENT]
Knave, Hogue  cheat  rascal  villain  miscreant  scoundrel  , True-penny  gentleman  innocent  dupe  simpleton  gull  oaf
Knavery  [See KNAVE], Knavery  [See KNAVE]    ,
Knavish, Fraudulent  villainous  dishonest  [See HONEST]    ,
Knit  [See JOIN and INTERLACE], Knit  [See JOIN and INTERLACE]    ,
Knot, Tie  bond  intricacy  difficulty  perplexity  cluster  collection  band  group  protuberance  joint  , Loosening  unfastening  dissolution  solution  explication  unravelling  dispersion  multitude  crowd  indentation  evenness  smoothness  cavity
Knotty, Tough  bard  difficult  complicated  , Plain  simple  easy  obvious
Know, Perceive  understand  comprehend  recognize  apprehend  distinguish  [See PERCEIVE]    ,
Knowing, Shrewd  astute  discerning  sharp  acute  sagacious  penetrating  proficient  skillful  intelligent  experienced  well-informed  accomplished  , Simple  dull  innocent  gullible  undiscerning  stolid  silly
Knowledge, Apprehension  comprehension  recognition  understanding  conversance  experience  acquaintance  familiarity  cognizance  notice  information  instruction  learning  enlightenment  scholarship  attainments  acquirements  , Misapprehension  inobservance  incomprehension  misunderstanding  misconception  inconversance  inexperience  ignorance  unfamiliarity  incognizance  misinformation  deception  misinstruction  uneducatedness  untutoredness  rudeness  illiterateness
Labor, Work  toil  burn  drudgery  exertion  effort  industry  task  duties  , Indolence  ease  inactivity  facility  skill  recreation  rest  refreshment
Labored, Elaborate  studied    carefully wrought    , Not elaborate  unstudied  easy  off hard
Laborer, Workman  workingman  employe  operative  breadwinner  hand  , Employer
Laborious, Assiduous  diligent  painstaking  indefatigable  arduous  burdensome  toilsome  wearisome  industrious  hard-working  active  difficult  tedious  , Idle  indiligent  lazy  indolent  easy  facile  light  feasible  simple
Labyrinth, Maze  complexity  bewilderment  involution  perplexity  inexplicable  difficulty  , Clue  explication  elimination  enucleation
Lace  [See BIND], Lace  [See BIND]    ,
Lacerate  [See TEAR], Lacerate  [See TEAR]    ,
Lack -n, Failure  scarcity  deficiency  want  need  demand  insufficiency  , Fulness  abundance  sufficiency  satisfaction  supply  competence
Lack -v, Want  require  need   be destitute of   , Supply   have abundance of
Laconic, Terse  curt  epigrammatic  , Prolix  wordy  tedious  prosy  garrulous  circumlocutory  loquacious
Lade  [See LOAD], Lade  [See LOAD]    ,
Laden  [See LOAD], Laden  [See LOAD]    ,
Lading  [See LOAD], Lading  [See LOAD]    ,
Lag, Loiter  linger  saunter  dally  tarry  Idle  , Press  hasten  speedup  hurry  stir
Laggard, Loiterer  saunterer  dawdler  slow goer  sluggard  , One moving quickly
Laical, Secular  non-libel  civil  temporal  , Clerical  legal  ministerial  ecclesiastical  sacerdotal  priestly  canonical  spiritual  Lull
Laity  [See CLERGYMAN], Laity  [See CLERGYMAN]    ,
Lame, Weak  faltering  hobbling  hesitating  ineffective  impotent  crippled  halt  defective  imperfect  , Robust  agile  potent  efficient  satisfactory  cogent  convincing  tolling  effective
Lament, Deplore  mourn  bewail  regret  grieve for  bemoan  wail for  , Welcome  hall
Land, Plant  place  fix  , Extricate  remove  disestablish  upset
Language, Speech  talk  conversation  dialect  discourse  tongue  diction  phraseology  articulation  accents  vernacular  expression  , Jargon  jabber  gibberish  babel  gabble  cry  whine  bark  howl  roar  &c  obmutescence  dumbness  muteness  inarticulateness  speechless ness
Languid, Faint  weary  feeble  unnerved  unbraced  pining  drooping  enervated  exhausted  flagging  spiritless  , Strong  healthy  robust  rigorous  active  braced
Languish, Pine  droop  sink  faint  wither  sigh  decline  , Flourish  luxuriate  bloom  prosper  thrive
Languor, Lassitude  weariness  weakness  , Strength  vigor  freshness  energy  lithesomeness
Lank, Lean  loose  slender  slim  long  lax  rawboned  , Plump  short  full  rounded  crisp  curled
Lapse, Gliding  falling  flow  onflow  flux  progress  escheatment  devolution  reversion  elapsing  , Stability  uprightness  stationariness  fixture  arrestation  stoppage  retention  inheritance  possession
Large, Big  bulky  extensive  abundant  capacious  ample  liberal  comprehensive  enlightened  catholic  great  vast  wide  , Small  mean  narrow  circumscribed  contracted  scanty  illiberal  niggardly  bigoted  petty  sordid
Lascivious, Lustful  libidinous  lewd  lecherous  wanton  , Pure  chaste  continent
Lash, Censure  castigate  satirize  beat  tie  fasten  bind  flog  strike  whip  scourge  , Extol  compliment  eulogize
Lassitude  [See LANGUOR], Lassitude  [See LANGUOR]    ,
Last -v, Continue  remain  hold  endure  abide  live  , Cease  fail  fade  fly  wane  depart  disappear  terminate
Last -a, Latest  ending  final  concluding  hindmost  past  extreme  lowest  remotest  ultimate  , First  introductory  initiatory  opening  foremost  ensuing  highest  minor  next  nearest
Lasting, Enduring  abiding  permanent  perpetual  durable  [See ATTRACTIVE and DULL]    ,
Late, Slow  tardy  delayed  advanced  deceased  past  recent  , Early  present  existing  forthcoming  coming  future
Lately, Recently  of late  , Formerly  remotely
Latent, Invisible  inapparent  unobserved  hidden  concealed  undeveloped  implicit  potential  inherent  secret  occult  , Visible  apparent  manifest  conspicuous  exposed  unconcealed  attentive  developed  explicit
Lateral, Indirect  oblique  secondary  resultant  collateral  deviative  additive  parallel  adjunctive  incidental  , Lineal  direct  primary  immediate
Latter  [See LAST], Latter  [See LAST]    ,
Laud  [See PRAISE], Laud  [See PRAISE]    ,
Laudable  [See PRAISEWORTHY], Laudable  [See PRAISEWORTHY]    ,
Laudation  [See PANEGYRIC], Laudation  [See PANEGYRIC]    ,
Laughable  [See RIDICULOUS], Laughable  [See RIDICULOUS]    ,
Laugh at, Mock at  ridicule  deride  [See MOCK]    ,
Laughter, Merriment  glee  derision  ridicule  cachinnation  contempt  , Weeping  tears  mourning  sorrow  admiration  veneration  respect  whimper  whine
Launch, Propel  hurl  embark  expatiate  enlarge  , Repress  recall  ignore  avoid
Lave  [See WASH], Lave  [See WASH]    ,
Lavish, Profuse  unsparing  extravagant  bountiful  wasteful  prodigal  , Chary  sparing  niggardly  economical  dainty  close  retentive
Lavish -v, Pour  heap  squander  waste  , Husband  store  keep  retain  accumulate  hoard  treasure  spare
Law, Rule  edict  regulation  decree  command  order  statute  enactment  mode  method  sequence  principle  code  legislation  adjudication  jurisdiction  jurisprudence  , Misrule  disorder  anarchy  rebellion  insubordination  hazard  chance  irregularity  caprice  casualty  accident
Lawful, Legal  permissible  orderly  right  allowable  fair  constitutional  rightful  legitimate  , Illegal  impermissible  unlawful  wrong  lawless  unfair
Lawless, Wild  rebellious  disorderly  savage  marauding  violent  , Peaceful  loyal  orderly  civilized  honest  tractable  well-disposed
Lawyer, Counsellor  attorney  counsel  advocate  , Client
Lax, Loose  vague  incoherent  dissolute  licentious  unprincipled  remiss  flabby  slack  , Concise  coherent  compact  strict  rigid  severe  principled  conscientious  attentive
Lay, Place  establish  deposit  allay  prostrate  arrange  dispose  put  spread  set down  , Erect  raise  lift  excite  disarrange  disorder  scrape  abrade
Layman  [See CLERGYMAN], Layman  [See CLERGYMAN]    ,
Lazy  [See LABORIOUS], Lazy  [See LABORIOUS]    ,
Lead -v, Conduct  guide  precede  induce  spend  pass  commence  inaugurate  convoy  persuade  direct  influence  , Misconduct  mislead  follow  dissuade  abandon  leave  misguide
Lead -n, Priority  pre-eminence  initiative  guidance  control  , Subordination  inferiority  submission
Leader, Chief  director  guide  pioneer  head  , Follower
Leading  [See LEAD], Leading  [See LEAD]    ,
League, Bond  combination  alliance  compact  confederacy  union  coalition  confederation  , Dissolution  disconnection  neutrality  secession  disunion  disruption  alienation  divorce
Leak  [See OOZE], Leak  [See OOZE]    ,
Lean -v, Incline  rest  support  tend  bend  depend  hang  repose  confide  slope  , Stabilitate  erect  re-erect  raise  rise  straighten
Lean -a, Meagre  lank  tabid  emaciated  shrivelled  bony  thin  scraggy  skinny  slender  scanty  , Fat  brawny  plump  well-conditioned
Leaning, Tendency  inclination  proclivity  propensity  partiality  bias  liking  , Avoidance  aversion  repugnance  loathing
Leap, Jump  bound  bounce  spring  vault  hop  , Plunge  dip  dive  duck  walk
Learn, Acquire  attain  imbibe  collect  glean  understand  gather  , Lose  forget  teach  instruct
Learned, Conversant  erudite  read  skilled  scholarly  literary  knowing  well-informed  versed  , Inconversant  illiterate  ignorant  unlearned  unscholarly
Learner, Tyro  novice  pupil  student  beginner  scholar  disciple  catechumen  , Teacher  master  professor  adept  authority
Learning, Knowledge  erudition  literature  lore  letters  acquirements  attainments  scholarship  education  tuition  culture  , Ignorance  boorishness  it  literiteness  emptiness  sciolism  intuition  revelation  inspiration
Least, Smallest  lowest  meanest  last  , Greatest  highest  first  main  principal
Leave -v  [See ABANDON and BEQUEATH], Leave -v  [See ABANDON and BEQUEATH]    ,
Leave -n, Liberty  permission  license  concession  , Restriction  prohibition  prevention  inhibition  refusal
