The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
software was not entirely perfect though and it would often invert, Refrain  forbear  refuse  demur  avoid  cease  stop  keep back  desist  discontinue  withhold  scruple  , Indulge  exceed  reveal  wanton
n and u  or render either of those letters as ii  and render i as l, Abstinent  moderate  self-denying  sober  temperate  sparing  frugal  , Sensual  self-indulgent  gluttonous  greedy  intemperate
(lower case L). R and K were regularly mixed  so ROCK could be rendered, Wipe  cleanse  purify  sponge  scour  scrub  , Foul  bespatter  contaminate  bedaub  soil  pollute  begrime
as KOCR – if it managed to get the circular letters correct. Just one, Scouring  purifying  detergent  cathartic  , Contaminative  offensive  corruptive
example of variation is to be found in the rendering of the coded, Temperate  abstemious  continent  sober  self-denying  austere  , Self-indulgent  sensual  intemperate  epicurean  dissipated  incontinent  debauched
abbreviation for SYNONYM  ‘SYN.’ It might be rendered with a period , Separate  detach  part  eliminate  draw away  remove  take away  appropriate  purloin  steal  thieve  draw from  , Add  unite  conjoin  adduce  impose  restore  surrender  return
comma  both or none; and some of these variations were recorded:  \, Abstract -n  [See ABRIDGMENT]    ,
BTH \ 2vN. \ 8 vs. \ BYN  \ KYN. \ PYN. \ RYN. \ SIN  \ Srn. \ STIC., Separation  purloining  removal  appropriation  generalization  classification  reverie  absorption  inattention  absence  , Addition  conjunction  union  adduction  importation  restoration  restitution  individualization  enumeration  analysis  specification  observation  attention
\ STK. \ STN. \ STN.  \ STW. \ SVN  \ SXN. \ SY.V. \ SY:. \ SYH. \, Abstracted  [See ABSTRACT and ABSTRACTION]    ,
SYK. \ SYN  \ Syn  \ SYN. \ SYN. \ SYN.  \ SYS . \ SYS. \ SYW. \ SYX\., Hidden  recondite  difficult  profound  deep  curious  obscure  mystical  occult  hard  dark  , Patent  popular  superficial  simple  obvious  trite  intelligible  lucid  plain  easy  manifest  clear
and \ YX\. ! I know! Grrr!, Irrational  ridiculous  monstrous  senseless  asinine  stupid  chimerical  unreasonable  preposterous  silly  nonsensical  foolish  , Sensible  rational  reasonable  consistent  sound  substantial  logical  wise  sagacious  reflective  philosophical
Abundance, Plenty  largeness  copiousness  sufficiency  plentitude  exuberance  ampleness  profusion  luxuriance  wealth  , Rarity  scarcity  paucity  deficiency  scantiness  dearth  failure  poverty
Anyhow  with lots of rekeying  lots of rules to fix as many as, Plentiful  copious  plenteous  large  ample  overflowing  teeming  full  lavish  luxuriant  bountiful  abounding  profuse  liberal  rich  , Rare  scarce  scant  deficient  short  insufficient  niggardly  sparing  dry  drained  exhausted  impoverished
aberrations as possible  and employing a personal digital dictionary, Injure  damage  spoil  maltreat  treat-all  ill-use  ill-treat  retile  scandalize  disparage  reproach  upbraid  asperse  malign  slander  vituperate  prostitute  defame  pervert  misuse  misemploy  vilify  , Tend  protect  conserve  consider  regard  shield  cherish  praise  extol  laud  vindicate  panegyrize  respect
of over 600 000 words  I checked many of the fragments and verified, Mistreatment  invective  ill-treatment  opprobrium  scurrility  vituperation  ribaldry  obloquy  reproach  insolence  misusage  ill-usage  , Good-usage  good-treatment  kindness  praise  deference  respect
that the OCR scanner had done very well  in fact. Those fragments which, Insulting  insolent  offensive  opprobrious  reproachful  vituperative  rude  denunciatory  scurrilous  , Respectful  kind  panegyrical  laudatory  attentive
eventually could not be distinguished by eye or logic were left ‘as, Extend  project  impinge  approximate  , Recurve  retreat  diverge  return  recede
